,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2,Day/Night
67,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.8,22,10.8,3,160,24,45,1,10.8,73,4,0.077075099,-0.666666667,England,Australia,1
68,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,11.1,3,11.1,26,160,24,45,1,11.1,77,4,0.077075099,-0.666666667,England,Australia,1
69,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,11.2,3,11.2,27,160,24,45,1,11.2,78,4,0.077075099,-0.666666667,England,Australia,1
70,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,11.3,27,11.3,3,160,24,45,1,11.3,78,4,0.077075099,-0.666666667,England,Australia,1
71,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,11.4,27,11.4,3,160,24,45,1,11.4,78,4,0.077075099,-0.666666667,England,Australia,1
72,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,11.5,27,11.5,4,160,24,45,1,11.5,79,4,0.077075099,-0.666666667,England,Australia,1
73,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,11.6,4,11.6,29,160,24,45,1,11.6,81,4,0.077075099,-0.666666667,England,Australia,1
74,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,12.1,29,12.1,5,160,24,45,1,12.1,82,4,0.077075099,-0.666666667,England,Australia,1
75,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,12.2,5,12.2,31,160,24,45,1,12.2,84,4,0.077075099,-0.666666667,England,Australia,1
76,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,12.3,5,12.3,32,160,24,45,1,12.3,85,4,0.077075099,-0.666666667,England,Australia,1
77,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,12.4,32,12.4,6,160,24,45,1,12.4,86,4,0.077075099,-0.666666667,England,Australia,1
